#Date;Inv;Psum;Pmax
16/3/25;0;49968;0
16/3/25;1;5055;0
15/3/25;0;39685;0
15/3/25;1;3977;0
14/3/25;0;34572;0
14/3/25;1;3427;0
13/3/25;0;34169;0
13/3/25;1;3479;0
12/3/25;0;48124;0
12/3/25;1;4887;0
11/3/25;0;41728;0
11/3/25;1;4177;0
10/3/25;0;55309;0
10/3/25;1;5589;0
9/3/25;0;46428;0
9/3/25;1;4772;0
8/3/25;0;34160;0
8/3/25;1;3925;0
7/3/25;0;17893;0
7/3/25;1;1825;0
6/3/25;0;54278;0
6/3/25;1;5476;0
5/3/25;0;52088;0
5/3/25;1;5238;0
4/3/25;0;54346;0
4/3/25;1;5490;0
3/3/25;0;44337;0
3/3/25;1;4361;0
2/3/25;0;53583;0
2/3/25;1;5304;0
1/3/25;0;50221;0
1/3/25;1;4918;0
28/2/25;0;40443;0
28/2/25;1;3866;0
27/2/25;0;49451;0
27/2/25;1;4775;0
26/2/25;0;47753;0
26/2/25;1;4739;0
25/2/25;0;31858;0
25/2/25;1;3162;0
24/2/25;0;18595;0
24/2/25;1;1907;0
23/2/25;0;46039;0
23/2/25;1;4465;0
22/2/25;0;48400;0
22/2/25;1;4693;0
21/2/25;0;31416;0
21/2/25;1;2958;0
20/2/25;0;45280;0
20/2/25;1;4328;0
19/2/25;0;41198;0
19/2/25;1;3877;0
18/2/25;0;34810;0
18/2/25;1;2590;0
17/2/25;0;35259;0
17/2/25;1;3375;0
16/2/25;0;45815;0
16/2/25;1;4331;0
15/2/25;0;42449;0
15/2/25;1;4056;0
14/2/25;0;36493;0
14/2/25;1;3444;0
13/2/25;0;45007;0
13/2/25;1;4324;0
12/2/25;0;41528;0
12/2/25;1;3997;0
11/2/25;0;47798;0
11/2/25;1;4594;0
10/2/25;0;50614;0
10/2/25;1;4992;0
9/2/25;0;49737;0
9/2/25;1;4855;0
8/2/25;0;45035;0
8/2/25;1;4421;0
7/2/25;0;38868;0
7/2/25;1;3714;0
6/2/25;0;35893;0
6/2/25;1;3405;0
5/2/25;0;45923;0
5/2/25;1;4426;0
4/2/25;0;39960;0
4/2/25;1;3847;0
3/2/25;0;42999;0
3/2/25;1;4116;0
2/2/25;0;45785;0
2/2/25;1;4343;0
1/2/25;0;44448;0
1/2/25;1;4192;0
31/1/25;0;45324;0
31/1/25;1;4266;0
30/1/25;0;47769;0
30/1/25;1;4543;0
29/1/25;0;43658;0
29/1/25;1;4214;0
28/1/25;0;45442;0
28/1/25;1;4297;0
27/1/25;0;46082;0
27/1/25;1;4362;0
26/1/25;0;45800;0
26/1/25;1;4444;0
25/1/25;0;44413;0
25/1/25;1;4098;0
24/1/25;0;43870;0
24/1/25;1;3965;0
23/1/25;0;39824;0
23/1/25;1;3669;0
22/1/25;0;47358;0
22/1/25;1;4408;0
21/1/25;0;50343;0
21/1/25;1;4756;0
20/1/25;0;44679;0
20/1/25;1;3989;0
19/1/25;0;51360;0
19/1/25;1;4791;0
18/1/25;0;51623;0
18/1/25;1;4852;0
17/1/25;0;49960;0
17/1/25;1;4775;0
16/1/25;0;41645;0
16/1/25;1;4123;0
15/1/25;0;49885;0
15/1/25;1;4728;0
14/1/25;0;45824;0
14/1/25;1;4262;0
13/1/25;0;52199;0
13/1/25;1;4907;0
12/1/25;0;44921;0
12/1/25;1;4136;0
11/1/25;0;50263;0
11/1/25;1;4833;0
10/1/25;0;49676;0
10/1/25;1;4767;0
9/1/25;0;47344;0
9/1/25;1;4482;0
8/1/25;0;49164;0
8/1/25;1;4661;0
7/1/25;0;48404;0
7/1/25;1;4515;0
6/1/25;0;52146;0
6/1/25;1;4737;0
5/1/25;0;50505;0
5/1/25;1;4757;0
4/1/25;0;49288;0
4/1/25;1;4712;0
3/1/25;0;49288;0
3/1/25;1;4722;0
2/1/25;0;51383;0
2/1/25;1;4829;0
1/1/25;0;52485;0
1/1/25;1;4980;0
31/12/24;0;47438;0
31/12/24;1;4842;0
30/12/24;0;49994;0
30/12/24;1;4800;0
29/12/24;0;44700;0
29/12/24;1;4443;0
28/12/24;0;38786;0
28/12/24;1;3840;0
27/12/24;0;44942;0
27/12/24;1;4452;0
26/12/24;0;43258;0
26/12/24;1;4279;0
25/12/24;0;49243;0
25/12/24;1;4735;0
24/12/24;0;49253;0
24/12/24;1;4888;0
23/12/24;0;50221;0
23/12/24;1;4964;0
22/12/24;0;50270;0
22/12/24;1;4788;0
21/12/24;0;50420;0
21/12/24;1;4784;0
20/12/24;0;47796;0
20/12/24;1;4471;0
19/12/24;0;52553;0
19/12/24;1;5033;0
18/12/24;0;51332;0
18/12/24;1;5004;0
17/12/24;0;52160;0
17/12/24;1;5087;0
16/12/24;0;46755;0
16/12/24;1;4685;0
15/12/24;0;38730;0
15/12/24;1;3906;0
14/12/24;0;26119;0
14/12/24;1;2680;0
13/12/24;0;20069;0
13/12/24;1;2079;0
12/12/24;0;38107;0
12/12/24;1;3890;0
11/12/24;0;48908;0
11/12/24;1;4853;0
10/12/24;0;49117;0
10/12/24;1;4754;0
9/12/24;0;41828;0
9/12/24;1;4026;0
8/12/24;0;40632;0
8/12/24;1;3976;0
7/12/24;0;46815;0
7/12/24;1;4621;0
6/12/24;0;50744;0
6/12/24;1;4965;0
5/12/24;0;49188;0
5/12/24;1;4851;0
4/12/24;0;51489;0
4/12/24;1;5042;0
3/12/24;0;51927;0
3/12/24;1;5012;0
2/12/24;0;51960;0
2/12/24;1;4952;0
1/12/24;0;54474;0
1/12/24;1;5252;0
30/11/24;0;54576;0
30/11/24;1;5275;0
29/11/24;0;51053;0
29/11/24;1;5138;0
28/11/24;0;53555;0
28/11/24;1;5301;0
27/11/24;0;50956;0
27/11/24;1;5055;0
26/11/24;0;46045;0
26/11/24;1;4558;0
25/11/24;0;50058;0
25/11/24;1;4977;0
24/11/24;0;45535;0
24/11/24;1;4494;0
23/11/24;0;51829;0
23/11/24;1;5208;0
22/11/24;0;46645;0
22/11/24;1;4606;0
21/11/24;0;50908;0
21/11/24;1;5022;0
20/11/24;0;51688;0
20/11/24;1;5132;0
19/11/24;0;50585;0
19/11/24;1;5042;0
18/11/24;0;48891;0
18/11/24;1;4821;0
17/11/24;0;31900;0
17/11/24;1;3083;0
16/11/24;0;46890;0
16/11/24;1;4735;0
15/11/24;0;19882;0
15/11/24;1;2060;0
14/11/24;0;40962;0
14/11/24;1;3995;0
13/11/24;0;48863;0
13/11/24;1;4820;0
12/11/24;0;51398;0
12/11/24;1;5049;0
11/11/24;0;55633;0
11/11/24;1;5565;0
10/11/24;0;54783;0
10/11/24;1;5420;0
9/11/24;0;54909;0
9/11/24;1;5525;0
8/11/24;0;43136;0
8/11/24;1;4388;0
7/11/24;0;38607;0
7/11/24;1;3943;0
6/11/24;0;29644;0
6/11/24;1;2992;0
5/11/24;0;36344;0
5/11/24;1;3666;0
4/11/24;0;38003;0
4/11/24;1;3835;0
3/11/24;0;52654;0
3/11/24;1;5235;0
2/11/24;0;51659;0
2/11/24;1;5167;0
1/11/24;0;48792;0
1/11/24;1;4811;0
31/10/24;0;58335;0
31/10/24;1;5787;0
30/10/24;0;47610;0
30/10/24;1;4784;0
29/10/24;0;39971;0
29/10/24;1;3983;0
28/10/24;0;40350;0
28/10/24;1;4163;0
27/10/24;0;43282;0
27/10/24;1;4316;0
26/10/24;0;52698;0
26/10/24;1;5374;0
25/10/24;0;48896;0
25/10/24;1;4872;0
24/10/24;0;53483;0
24/10/24;1;5410;0
23/10/24;0;43470;0
23/10/24;1;4370;0
22/10/24;0;40742;0
22/10/24;1;4201;0
21/10/24;0;45179;0
21/10/24;1;4580;0
20/10/24;0;40972;0
20/10/24;1;4213;0
19/10/24;0;33447;0
19/10/24;1;3460;0
18/10/24;0;30300;0
18/10/24;1;3091;0
17/10/24;0;40840;0
17/10/24;1;4106;0
16/10/24;0;31678;0
16/10/24;1;3129;0
15/10/24;0;47658;0
15/10/24;1;4762;0
14/10/24;0;43287;0
14/10/24;1;4440;0
13/10/24;0;34667;0
13/10/24;1;3469;0
12/10/24;0;36482;0
12/10/24;1;3649;0
11/10/24;0;40799;0
11/10/24;1;4268;0
10/10/24;0;39253;0
10/10/24;1;3943;0
9/10/24;0;33367;0
9/10/24;1;3368;0
8/10/24;0;40273;0
8/10/24;1;4025;0
7/10/24;0;39471;0
7/10/24;1;4031;0
6/10/24;0;51739;0
6/10/24;1;5259;0
5/10/24;0;55394;0
5/10/24;1;5678;0
4/10/24;0;36722;0
4/10/24;1;3945;0
3/10/24;0;39710;0
3/10/24;1;4214;0
2/10/24;0;24697;0
2/10/24;1;2597;0
1/10/24;0;33858;0
1/10/24;1;3448;0
30/9/24;0;56595;0
30/9/24;1;5737;0
29/9/24;0;43708;0
29/9/24;1;4457;0
28/9/24;0;42641;0
28/9/24;1;4345;0
27/9/24;0;33061;0
27/9/24;1;3294;0
26/9/24;0;46193;0
26/9/24;1;4913;0
25/9/24;0;36084;0
25/9/24;1;3748;0
24/9/24;0;27658;0
24/9/24;1;2873;0
23/9/24;0;46174;0
23/9/24;1;4424;0
22/9/24;0;34739;0
22/9/24;1;3628;0
21/9/24;0;32934;0
21/9/24;1;3409;0
20/9/24;0;40559;0
20/9/24;1;4135;0
19/9/24;0;50888;0
19/9/24;1;5326;0
18/9/24;0;27241;0
18/9/24;1;2766;0
17/9/24;0;39391;0
17/9/24;1;4027;0
16/9/24;0;54815;0
16/9/24;1;5778;0
15/9/24;0;50794;0
15/9/24;1;5270;0
14/9/24;0;45165;0
14/9/24;1;4652;0
13/9/24;0;38668;0
13/9/24;1;4066;0
12/9/24;0;42833;0
12/9/24;1;4483;0
11/9/24;0;39145;0
11/9/24;1;4006;0
